T1.KYA07.00.BHZ | 2007-10-02T06:30:00.015000Z - 2007-10-02T07:00:00.015000Z | 5.0 Hz, 9001 samples
T1.KYA08.00.BHZ | 2007-10-02T06:30:00.015000Z - 2007-10-02T07:00:00.015000Z | 5.0 Hz, 9001 samples
T1.KYA09.00.BHZ | 2007-10-02T06:30:00.010000Z - 2007-10-02T07:00:00.010000Z | 5.0 Hz, 9001 samples
T1.KYA10.00.BHZ | 2007-10-02T06:30:00.005000Z - 2007-10-02T07:00:00.005000Z | 5.0 Hz, 9001 samples
T1.KYA11.00.BHZ | 2007-10-02T06:30:00.015000Z - 2007-10-02T07:00:00.015000Z | 5.0 Hz, 9001 samples
T1.KYA12.00.BHZ | 2007-10-02T06:30:00.015000Z - 2007-10-02T07:00:00.015000Z | 5.0 Hz, 9001 samples
T1.KYA13.00.BHZ | 2007-10-02T06:30:00.015000Z - 2007-10-02T07:00:00.015000Z | 5.0 Hz, 9001 samples
T1.KYA14.00.BHZ | 2007-10-02T06:30:00.015000Z - 2007-10-02T07:00:00.015000Z | 5.0 Hz, 9001 samples
T1.KYA15.00.BHZ | 2007-10-02T06:30:00.015000Z - 2007-10-02T07:00:00.015000Z | 5.0 Hz, 9001 samples
T1.KYA16.00.BHZ | 2007-10-02T06:30:00.015000Z - 2007-10-02T07:00:00.015000Z | 5.0 Hz, 9001 samples
T1.KYA17.00.BHZ | 2007-10-02T06:30:00.015000Z - 2007-10-02T07:00:00.015000Z | 5.0 Hz, 9001 samples
T1.KYA18.00.BHZ | 2007-10-02T06:30:00.015000Z - 2007-10-02T07:00:00.015000Z | 5.0 Hz, 9001 samples
T1.KYA19.00.BHZ | 2007-10-02T06:30:00.015000Z - 2007-10-02T07:00:00.015000Z | 5.0 Hz, 9001 samples
T1.KYB01.00.BHZ | 2007-10-02T06:30:00.015000Z - 2007-10-02T07:00:00.015000Z | 5.0 Hz, 9001 samples
T1.KYB02.00.BHZ | 2007-10-02T06:30:00.015000Z - 2007-10-02T07:00:00.015000Z | 5.0 Hz, 9001 samples
T1.KYB03.00.BHZ | 2007-10-02T06:30:00.015000Z - 2007-10-02T07:00:00.015000Z | 5.0 Hz, 9001 samples
T1.KYB04.00.BHZ | 2007-10-02T06:30:00.015000Z - 2007-10-02T07:00:00.015000Z | 5.0 Hz, 9001 samples
T1.KYB05.00.BHZ | 2007-10-02T06:30:00.020000Z - 2007-10-02T07:00:00.020000Z | 5.0 Hz, 9001 samples
T1.KYB06.00.BHZ | 2007-10-02T06:30:00.000000Z - 2007-10-02T07:00:00.000000Z | 5.0 Hz, 9001 samples
T1.KYJ01.00.BHZ | 2007-10-02T06:30:00.005000Z - 2007-10-02T07:00:00.005000Z | 5.0 Hz, 9001 samples
T1.KYJ03.00.BHZ | 2007-10-02T06:30:00.015000Z - 2007-10-02T07:00:00.015000Z | 5.0 Hz, 9001 samples
T1.KYJ04.00.BHZ | 2007-10-02T06:30:00.010000Z - 2007-10-02T07:00:00.010000Z | 5.0 Hz, 9001 samples
T1.KYJ05.00.BHZ | 2007-10-02T06:30:00.005000Z - 2007-10-02T07:00:00.005000Z | 5.0 Hz, 9001 samples
T1.KYJ06.00.BHZ | 2007-10-02T06:30:00.005000Z - 2007-10-02T07:00:00.005000Z | 5.0 Hz, 9001 samples
T1.KZG02.00.BHZ | 2007-10-02T06:30:00.015000Z - 2007-10-02T07:00:00.015000Z | 5.0 Hz, 9001 samples
T1.KZG03.00.BHZ | 2007-10-02T06:30:00.015000Z - 2007-10-02T07:00:00.015000Z | 5.0 Hz, 9001 samples
T1.KZG04.00.BHZ | 2007-10-02T06:30:00.015000Z - 2007-10-02T07:00:00.015000Z | 5.0 Hz, 9001 samples
T1.KZG05.00.BHZ | 2007-10-02T06:30:00.015000Z - 2007-10-02T07:00:00.015000Z | 5.0 Hz, 9001 samples
T1.KZG06.00.BHZ | 2007-10-02T06:30:00.020000Z - 2007-10-02T07:00:00.020000Z | 5.0 Hz, 9001 samples
